prediction_time,Province,selected_model_1h,selected_model_status_1h,selected_model_6h,selected_risk_score_6h,selected_risk_percentile_6h,selected_risk_level_6h,selected_model_status_6h,selected_model_24h,selected_risk_score_24h,selected_risk_percentile_24h,selected_risk_level_24h,selected_model_status_24h,planned_known_now,planned_known_next_1h,planned_known_next_6h,planned_known_next_24h,hours_to_next_known_planned_outage
2024-01-02 05:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0156561694346002,38.42027165848648,LOW,EXPERIMENTAL,RANDOM_FOREST,0.418480980038705,49.76600844652437,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 05:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0071041720560247,42.94030361830841,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 06:00:00,ANTANANARIVO,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0055865786656784,6.814290606095194,LOW,EXPERIMENTAL,RANDOM_FOREST,0.3054035370019071,66.2139025225431,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 06:00:00,ANTSIRANANA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0129060886481467,93.72217783358064,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.0032049935276592,92.52939162196095,MODERATE,MVP_CANDIDATE,0,0,0,0,
2024-01-02 06:00:00,FIANARANTSOA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.006146413585605,67.95457139595936,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,33.74614770003424,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 06:00:00,MAHAJANGA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.4614216815409852,88.57436365711678,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.4434168546535115,47.30053646843968,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 06:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0167535333114849,41.02271430202032,LOW,EXPERIMENTAL,RANDOM_FOREST,0.500521093476175,70.48282159570826,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 06:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0070145976468862,38.75699121104897,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 07:00:00,ANTANANARIVO,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0056936968623637,7.927177262869535,LOW,EXPERIMENTAL,RANDOM_FOREST,0.2656189398485304,61.71669900696267,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 07:00:00,ANTSIRANANA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0098561720588106,78.20454286040406,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0001567194478278,31.714416162538523,LOW,MVP_CANDIDATE,0,0,0,0,
